No.,Part Name,Quantity Required,Price in $,Price in ₹,Buying Link,
1,PCB from JLCPCB,5 (MOQ),$16.57,"₹1,452.00",,
2,Keycaps set (blaze color),1,$14.82,"₹1,299.00",https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/, 
3,Stabilizers set,1,$18.20,"₹1,595.00",https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/, 
4,USB-C coiled cable,1,$19.38,"₹1,699.00",https://keychron.in/product/coiled-type-c-cable/, 
,CNC Machined JLC CNC,3 different parts,$50.00,"₹9,000.00",approx price,
6,Gaetron Switch opener,1,$21.09,"₹1,849.00",https://keychron.in/product/gateron-switch-opener/, 
7,Key Switches Gaetron Milky Yellow,1,$38.71,"₹3,393.00",https://www.desertcart.in/products/639473967, 
8,Keycap Puller,1,$3.76,₹330.00,https://www.amazon.in/MAXBELL-Portable-Remover-Mechanical-Keyboard/dp/B09GPNC5FN#averageCustomerReviewsAnchor, 
9,"LCSC Electronics(capacitors, resistors, chips etc",19 different components,$53.93,"₹4,727.00",,
10,Screws,Many,$2.28,₹200.00,https://onlyscrews.in/, 
11,Foam for gaskets,1,$3.42,₹300.00,https://www.amazon.in/Lakeer-Scrapbooking-Projects-Decorations-Multicolour/dp/B07QP8GC9Z/ref=sr_1_4_sspa?crid=38ZVIDZB4XNR8&dib=eyJ2IjoiMSJ9.Zif5Ajzws37uazj7LuvEO2aWVdKmZhvDakcW2KlkoUP2pwHZXv8ky_TAJj02Q7pgpaD7ticCzMm_LVgy39Ayti4fp8dZc7YIUase5XgVw5FjPcubw09-s54r6jrsfB24SEnDGh-vRpd45oazkVvTArVHGzeEZ-u5a8znPjEYZBugcQcnCcWnBj7TcfZ67vRtxZH5nmU5be8OJTRhW0SyekqJNjmZunEq6csLgFmUpWRvfKXQ5NlDaVvTiHF6dCx9MCRK-hBjiRfEMG43MVdooWlzNt9qT4JsLo0FrdwY_sc.TD_cekaQrcopbI_mXGCLSsCuuPOzzeOL4XeJe8ZPEOU&dib_tag=se&keywords=foam%2B2mm&qid=1751563654&sprefix=foam%2Bmm%2Caps%2C230&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, 
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
,Total,Price of ALL:,$242.17,"₹25,844.00",,
